year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2010,10CA0000303,426784,430438,2,1,1/09/10,2358,1438,3,Frost / Ice,Darkness: street lights present and lit,Snowing without high winds,Pedestrian,Slight,Male,24,9
2010,10AA0005393,427798,434672,2,5,7/29/10,2358,1438,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,49,9
2010,10AA0005393,427798,434672,2,5,7/29/10,2358,1438,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,26,9
2010,10AA0005393,427798,434672,2,5,7/29/10,2358,1438,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,9
2010,10AA0005393,427798,434672,2,5,7/29/10,2358,1438,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,30,9
2010,10AA0005393,427798,434672,2,5,7/29/10,2358,1438,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,38,9
2010,10BA0005845,435054,432441,1,4,7/17/10,2356,1436,6,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,26,10
2010,10BA0005845,435054,432441,1,4,7/17/10,2356,1436,6,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,31,10
2010,10BA0005845,435054,432441,1,4,7/17/10,2356,1436,6,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Female,36,10
2010,10BA0005845,435054,432441,1,4,7/17/10,2356,1436,6,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,40,10
2012,120253999,431344,437932,2,1,6/04/12,2356,1436,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,37,19
2009,606409,421510,434645,5,1,7/25/09,2355,1435,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Fatal,Male,24,9
2009,698609,431470,435114,2,2,8/28/09,2355,1435,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,55,9
2009,698609,431470,435114,2,2,8/28/09,2355,1435,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,9
2009,1092509,425921,436242,1,2,12/28/09,2355,1435,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,28,9
2009,1092509,425921,436242,1,2,12/28/09,2355,1435,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,9
2010,10AA0006612,422356,433392,2,1,10/22/10,2355,1435,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,11
2011,110168797,436242,434290,1,1,4/11/11,2355,1435,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,9
2011,110410493,430524,434229,1,1,8/27/11,2355,1435,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,40,9
2011,110430544,432171,434630,2,1,9/18/11,2355,1435,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,42,9
